coscoeff,sincoeff,highest_deg,epsilon,evoltime
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
-0.0,0.0,3291,1.0e-14,1200
0.0,-0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
0.0,0.0,3291,1.0e-14,1200
